구별,총계,2011년 이전,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
종로구,1729,216,7,10,582,210,150,1,259,85,9,200,47.14893617021277,156567,147296,9271,27781,5.921426609694253,17.74384129478115
중구,2001,16,6,199,90,125,218,333,462,228,194,130,205.96330275229357,133708,124552,9156,24767,6.847757800580369,18.523199808538006
용산구,2383,31,3,71,234,125,221,298,351,125,307,617,247.88321167883214,243336,229013,14323,39575,5.886099878357498,16.26352039977644
성동구,3515,487,26,122,207,112,335,309,790,409,262,456,172.69200930954227,298421,291906,6515,45968,2.18315735152687,15.403741693781603
광진구,2556,11,24,57,100,187,98,52,675,465,712,175,435.84905660377353,356191,343392,12799,50370,3.5932968547773525,14.141289364414037
동대문구,2315,960,130,146,60,29,111,233,136,197,209,104,61.211699164345404,352570,338875,13695,60868,3.8843350256686615,17.264089400686387
중랑구,3285,298,21,23,253,88,138,159,152,173,1050,930,300.12180267965897,396807,392041,4766,69841,1.2010876824249572,17.60074797067592
성북구,3754,42,41,87,174,230,323,587,461,860,716,233,318.50613154960985,444295,434826,9469,73158,2.1312416299980868,16.466086721660158
강북구,2462,0,0,0,55,85,130,311,34,385,976,486,811.8518518518518,307537,304078,3459,62893,1.1247427138848334,20.45054741380712
도봉구,1356,0,49,29,96,181,79,159,134,223,214,192,212.44239631336404,323752,321717,2035,62360,0.6285675455286762,19.26165707084435
노원구,2282,0,0,90,105,109,605,405,256,201,240,271,151.04510451045107,522225,518278,3947,85906,0.7558044904016469,16.449997606395712
은평구,3660,14,0,3,44,332,329,555,403,635,1057,288,406.9252077562327,479607,475501,4106,85140,0.8561176129622795,17.75203447822905
서대문구,2939,386,179,233,214,114,109,277,415,246,328,438,137.9757085020243,318814,308482,10332,53440,3.2407610707183494,16.762124624389145
마포구,2401,270,66,93,77,61,162,350,358,340,384,240,229.35528120713306,378216,368518,9698,53494,2.56414324089938,14.14376969773886
양천구,3307,1217,282,175,201,173,193,351,120,142,255,198,47.56804997768853,456019,452677,3342,66231,0.7328642008337373,14.523736949556925
강서구,2437,26,29,129,106,213,188,168,506,259,457,356,252.67727930535457,582804,577320,5484,89377,0.9409681470957646,15.33568746954379
구로구,4075,643,209,216,349,187,268,326,540,488,434,415,117.68162393162393,426675,401074,25601,70717,6.000117185211226,16.57397316458663
금천구,2365,0,0,0,178,80,361,133,196,540,369,508,282.0678513731826,244564,229844,14720,39781,6.0188744050637055,16.266089857869513
영등포구,3773,450,122,136,238,123,209,248,311,658,65,1213,195.226917057903,403070,377590,25480,61197,6.3214826208847095,15.18272260401419
동작구,2262,165,73,93,29,503,130,254,278,255,242,240,127.79456193353474,398205,388730,9475,65396,2.3794276817217264,16.422696852123906
관악구,4909,320,120,84,431,441,608,620,684,674,596,331,144.96007984031937,504140,490352,13788,78400,2.7349545761098106,15.551235767842266
서초구,3730,0,117,72,93,71,563,516,1061,436,361,440,307.2052401746725,425103,421315,3788,60209,0.8910781622336235,14.163390989948319
강남구,6645,62,61,72,368,455,845,1307,1004,744,796,931,256.68276972624795,539538,534796,4742,75602,0.8789000960080661,14.012358721721178
송파구,2743,64,9,61,86,85,215,146,241,542,1068,226,427.50000000000006,667115,661411,5704,94145,0.8550249956903982,14.112259505482564
강동구,2547,223,45,27,227,49,154,202,273,377,356,614,251.3103448275862,468815,464900,3915,71203,0.8350842016573702,15.187867282403506
